date,type,amount
2022-02-28,乾電池,1.21
2022-02-28,空き缶,10.76
2022-02-28,ペットボトル,7.23
2022-02-28,白トレイ,0.9158
2022-02-28,容器以外のプラ,2.63
2022-02-28,燃えない ごみ,28.26
2022-02-28,その他ﾌﾟﾗ・色,27.12
2022-02-28,紙製パック,0.11
2022-02-28,雑誌類,18.14
2022-02-28,スプレー缶類,1.43
2022-02-28,段ボール類,14.37
2022-02-28,廃食用油,0.755
2022-02-28,蛍光灯,0.65
2022-02-28,繊維類,1.45
2022-02-28,燃やすごみ,740.96
2022-02-28,空きびん,20.31
2022-02-28,新聞紙類,7.81
2022-03-31,紙製パック,0.37
2022-03-31,空き缶,13.64
2022-03-31,新聞紙類,24.94
2022-03-31,燃やすごみ,1013.9
2022-03-31,雑誌類,61.03
2022-03-31,容器以外のプラ,6.12
2022-03-31,乾電池,2.01
2022-03-31,その他ﾌﾟﾗ・色,40.82
2022-03-31,繊維類,7.93
2022-03-31,ペットボトル,11.62
2022-03-31,廃食用油,0.884
2022-03-31,空きびん,32
2022-03-31,燃えない ごみ,57.3
2022-03-31,白トレイ,1.0482
2022-03-31,蛍光灯,0.82
2022-03-31,段ボール類,40.56
2022-03-31,スプレー缶類,2.25
